Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy
JM Financial Pharma Sectoral Scheme - Direct Plan - IDCW,JM Financial Mutual Fund,Equity,Sectoral,Pharma,Very High,4,21.98,22.35,21.24,2.27,716.0,5687.07,27.8,1000,500,Gopal Agrawal,Growth
L&T International Fund of Funds Fund - Regular Plan - Growth,L&T Mutual Fund,Other,Fund of Funds,International,Moderately High,3,10.9,11.65,9.44,1.45,121.11,104.74,17.6,1000,1000,Vinay Sharma,Growth
JM Financial MNC Thematic Plan - Regular Plan - IDCW,JM Financial Mutual Fund,Equity,Thematic,MNC,Moderately High,5,11.01,12.53,17.52,0.5,466.21,2300.99,8.1,500,10000,Nimesh Chandan,Index
Mirae Asset Tax Advantage ELSS Scheme - Direct Plan - IDCW,Mirae Asset Mutual Fund,Equity,ELSS,Tax Advantage,Moderately High,3,6.76,9.91,14.58,1.92,273.22,15.15,17.3,500,1000,Neelesh Surana,Index
Canara Robeco Pension Retirement Scheme - Regular Plan - IDCW,Canara Robeco Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,3,11.03,6.06,10.54,0.5,135.87,1174.08,0.9,500,10000,Vetri Subramaniam,Active
Bandhan Tax Advantage ELSS Fund - Direct Plan - Growth,Bandhan Mutual Fund,Equity,ELSS,Tax Advantage,High,3,20.99,17.9,20.23,1.99,235.71,2533.87,16.4,500,1000,Nimesh Chandan,Income
Sundaram Overnight Liquid Plan - Direct Plan - IDCW,Sundaram Mutual Fund,Debt,Liquid,Overnight,Low,1,-0.67,4.62,9.39,0.44,402.68,139.76,16.5,1500,25000,Rahul Baijal,Index
Axis Gilt Long Duration Scheme - Direct Plan - Growth,Axis Mutual Fund,Debt,Long Duration,Gilt,Moderate,3,14.93,7.09,8.2,0.63,619.54,2391.92,5.5,2000,10000,Swarup Mohanty,GARP
JM Financial Discovery Small Cap Plan - Regular Plan - IDCW,JM Financial Mutual Fund,Equity,Small Cap,Discovery,High,3,17.79,18.88,21.7,1.32,636.86,69.21,24.4,1000,500,Nimesh Chandan,Active
Canara Robeco Index Large Cap Scheme - Regular Plan - Growth,Canara Robeco Mutual Fund,Equity,Large Cap,Index,Moderately High,4,12.56,12.49,10.1,0.31,521.45,4180.15,15.6,500,500,Varun Goel,Active
IDFC Discovery Small Cap Fund - Direct Plan - IDCW,IDFC Mutual Fund,Equity,Small Cap,Discovery,High,5,44.82,43.68,47.31,0.74,458.81,1557.4,21.7,2000,5000,Niket Shah,Active
Sundaram IT Sectoral Scheme - Regular Plan - Growth,Sundaram Mutual Fund,Equity,Sectoral,IT,Very High,1,4.84,5.51,4.45,2.23,201.24,5183.13,29.0,500,25000,S. Nagnath,Passive
Bandhan Domestic Fund of Funds Scheme - Direct Plan - IDCW,Bandhan Mutual Fund,Other,Fund of Funds,Domestic,Moderately High,3,4.78,7.21,11.17,1.46,359.2,1696.54,20.8,1000,10000,Taher Badshah,Blend
ICICI Prudential Consumption Sectoral Fund - Regular Plan - IDCW,ICICI Prudential Mutual Fund,Equity,Sectoral,Consumption,High,3,22.82,29.99,25.48,1.27,287.95,54.97,9.8,500,5000,Niket Shah,GARP
Nippon India Corporate Bond Medium Duration Scheme - Direct Plan - Growth,Nippon India Mutual Fund,Debt,Medium Duration,Corporate Bond,Low to Moderate,4,1.36,6.28,4.37,0.98,333.6,25331.32,29.5,100,5000,Dhaval Gada,Passive
HDFC Contra Thematic Scheme - Direct Plan - IDCW,HDFC Mutual Fund,Equity,Thematic,Contra,High,5,26.85,23.39,24.46,0.56,544.08,113.54,2.4,1500,1000,Harsha Upadhyaya,Value
Mahindra Manulife Banking & PSU Medium Duration Scheme - Direct Plan - IDCW,Mahindra Manulife Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,4,3.34,7.96,11.38,0.32,676.3,118.38,4.4,2500,5000,S. Nagnath,Value
Axis International Fund of Funds Fund - Regular Plan - Growth,Axis Mutual Fund,Other,Fund of Funds,International,High,1,-0.57,4.24,2.72,1.04,439.48,802.15,4.2,100,25000,Manish Gunwani,Value
Bandhan Pharma Sectoral Fund - Direct Plan - Growth,Bandhan Mutual Fund,Equity,Sectoral,Pharma,Very High,3,6.49,11.07,10.18,1.91,180.22,154.31,29.3,500,1000,Divam Sharma,Passive
Quant Gold Fund of Funds Fund - Regular Plan - IDCW,Quant Mutual Fund,Other,Fund of Funds,Gold,Moderate,3,12.47,16.6,12.28,0.68,219.3,99.8,15.4,2000,5000,R. Srinivasan,Blend
Edelweiss Equity Arbitrage Arbitrage Plan - Regular Plan - IDCW,Edelweiss Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,12.95,,,0.75,255.76,1382.63,0.8,2500,10000,Gopal Agrawal,Blend
Mahindra Manulife Dynamic Multi Cap Fund - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Equity,Multi Cap,Dynamic,Moderate,4,18.34,15.25,17.91,0.89,650.81,661.94,9.2,2000,1000,Ajay Tyagi,Value
IDFC Diversified Multi Cap Scheme - Regular Plan - IDCW,IDFC Mutual Fund,Equity,Multi Cap,Diversified,Moderately High,5,27.08,23.99,28.86,0.76,532.56,3401.94,5.1,100,1000,Jinesh Gopani,Growth
Baroda BNP Paribas Equity Arbitrage Arbitrage Scheme - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,2.66,6.27,6.01,0.47,466.82,1479.02,26.7,100,5000,Chirag Setalvad,Blend
Bandhan Money Market Short Duration Plan - Direct Plan - IDCW,Bandhan Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,2,6.83,6.53,2.04,0.34,397.67,267.58,15.4,500,5000,S. Nagnath,Passive
HSBC Growth Mid Cap Fund - Direct Plan - IDCW,HSBC Mutual Fund,Equity,Mid Cap,Growth,High,4,15.87,16.45,12.78,1.88,695.22,472.89,21.4,2500,5000,Dhaval Gada,Blend
Baroda BNP Paribas Opportunities Mid Cap Fund - Direct Plan - Growth,Baroda BNP Paribas Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,4,34.33,29.4,32.08,0.58,517.98,1660.55,19.6,100,5000,Chandraprakash Padiyar,Passive
Motilal Oswal Dynamic Bond Long Duration Plan - Regular Plan - IDCW,Motilal Oswal Mutual Fund,Debt,Long Duration,Dynamic Bond,Moderately High,4,-0.28,7.17,8.56,0.37,352.53,6589.42,9.1,1000,5000,R. Srinivasan,Income
Bandhan High Yield Credit Risk Plan - Regular Plan - Growth,Bandhan Mutual Fund,Debt,Credit Risk,High Yield,Moderate,2,8.87,5.8,8.75,0.66,90.62,31.27,3.6,500,5000,Taher Badshah,Income
JM Financial Money Market Short Duration Plan - Direct Plan - IDCW,JM Financial Mutual Fund,Debt,Short Duration,Money Market,Low,3,12.72,7.47,8.73,0.25,97.02,23461.23,2.0,500,500,Sohini Andani,Blend
PGIM India Index Large Cap Plan - Regular Plan - IDCW,PGIM India Mutual Fund,Equity,Large Cap,Index,Moderately High,3,6.87,10.71,9.56,1.71,491.42,2373.99,3.8,5000,25000,Pranav Gokhale,Active
Baroda BNP Paribas Equity Arbitrage Arbitrage Fund - Direct Plan - Growth,Baroda BNP Paribas Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,1,7.33,5.1,3.51,1.0,216.73,3751.41,8.7,500,25000,Sohini Andani,GARP
HDFC Gift Children's Fund Scheme - Regular Plan - Growth,HDFC Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderately High,2,10.42,7.27,9.52,1.32,779.76,2277.78,19.6,500,10000,Swarup Mohanty,Passive
Axis Tax Saver ELSS Fund - Direct Plan - IDCW,Axis Mutual Fund,Equity,ELSS,Tax Saver,High,3,,22.3,26.42,1.16,39.64,5474.71,11.2,1000,5000,Ajay Tyagi,Growth
Union Equity Savings Aggressive Hybrid Fund - Direct Plan - IDCW,Union Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,3,16.87,17.52,13.07,1.0,379.47,1481.32,9.7,500,10000,Rajeev Thakkar,Passive
Tata 10Y Gilt Long Duration Fund - Regular Plan - IDCW,Tata Mutual Fund,Debt,Long Duration,10Y Gilt,Moderately High,3,11.96,4.4,3.0,0.73,289.38,2733.55,20.6,1500,10000,Divam Sharma,Blend
Bank of India Gilt Long Duration Plan - Direct Plan - IDCW,Bank of India Mutual Fund,Debt,Long Duration,Gilt,Moderate,3,4.58,8.29,6.45,0.41,527.16,1278.86,26.2,5000,10000,Chirag Setalvad,Active
Bank of India Education Children's Fund Scheme - Direct Plan - Growth,Bank of India Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,3,11.29,11.94,7.71,1.14,658.44,531.53,7.7,5000,5000,Swarup Mohanty,Value
Motilal Oswal Tax Saver ELSS Scheme - Direct Plan - Growth,Motilal Oswal Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,5,32.48,,,1.33,160.45,2509.48,1.9,2000,25000,Pranav Gokhale,Value
UTI Multi Asset Dynamic Asset Allocation Plan - Direct Plan - IDCW,UTI Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderate,3,8.74,11.26,11.72,0.53,607.26,3042.23,17.7,2500,5000,Divam Sharma,Growth
IDFC Diversified Multi Cap Fund - Direct Plan - IDCW,IDFC Mutual Fund,Equity,Multi Cap,Diversified,High,3,7.09,12.14,7.71,1.34,673.56,7342.81,10.1,1000,10000,Prashant Jain,Value
DSP Growth Mid Cap Scheme - Regular Plan - Growth,DSP Mutual Fund,Equity,Mid Cap,Growth,Moderately High,4,21.3,24.91,20.18,1.58,503.51,1691.03,17.6,1000,10000,Mahesh Patil,Growth
Tata Balanced Advantage Aggressive Hybrid Plan - Regular Plan - Growth,Tata Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,4,12.42,17.13,15.65,0.58,110.85,3924.99,28.9,1000,1000,Taher Badshah,Passive
UTI Overnight Liquid Plan - Direct Plan - IDCW,UTI Mutual Fund,Debt,Liquid,Overnight,Low,1,-2.57,3.74,6.87,0.33,497.68,2051.9,23.6,2500,25000,Gopal Agrawal,Value
ICICI Prudential Equity Arbitrage Arbitrage Plan - Direct Plan - Growth,ICICI Prudential Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,0.24,7.34,9.82,0.88,234.62,135.4,28.8,1500,5000,Niket Shah,Growth
Edelweiss Contra Thematic Fund - Regular Plan - Growth,Edelweiss Mutual Fund,Equity,Thematic,Contra,High,5,15.31,20.65,22.77,0.72,194.42,5328.57,15.1,5000,10000,Kalpen Parekh,Income
Quantum Senior Citizen Retirement Scheme - Direct Plan - Growth,Quantum Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,4,2.43,8.12,10.71,0.95,730.13,1984.52,7.4,100,500,Dhaval Gada,Index
DSP Index Large Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Equity,Large Cap,Index,Moderately High,5,23.17,21.67,24.22,0.76,362.79,260.77,12.5,1000,5000,Vinay Sharma,Index
Canara Robeco International Fund of Funds Scheme - Regular Plan - IDCW,Canara Robeco Mutual Fund,Other,Fund of Funds,International,Moderate,4,4.69,7.97,6.52,0.98,207.84,795.44,26.9,2500,5000,Vetri Subramaniam,Income
Quant Pharma Sectoral Scheme - Regular Plan - Growth,Quant Mutual Fund,Equity,Sectoral,Pharma,Very High,4,33.46,26.95,23.64,2.44,366.68,1937.41,28.4,500,5000,Divam Sharma,GARP
Parag Parikh Low Duration Short Duration Plan - Direct Plan - Growth,Parag Parikh Mutual Fund,Debt,Short Duration,Low Duration,Low,2,0.22,5.21,3.25,0.26,121.94,839.77,24.0,100,1000,Niket Shah,GARP
Union Tax Saver ELSS Plan - Direct Plan - Growth,Union Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,4,13.16,10.87,7.84,0.65,140.14,278.88,27.8,1000,10000,Divam Sharma,Passive
Franklin Templeton Equity Savings Aggressive Hybrid Scheme - Regular Plan - Growth,Franklin Templeton Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,High,4,14.8,12.31,,1.35,548.68,136.76,1.7,100,5000,Anish Tawakley,Index
Mahindra Manulife Ultra Short Liquid Scheme - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Debt,Liquid,Ultra Short,Low,2,7.67,6.56,9.88,0.5,137.58,3448.83,20.9,2000,5000,Atul Kumar,GARP
Axis Money Market Short Duration Fund - Direct Plan - Growth,Axis Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,2,15.69,7.92,9.79,0.35,640.46,1517.81,27.4,500,25000,Amit Ganatra,Blend
Quantum Opportunities Mid Cap Scheme - Regular Plan - Growth,Quantum Mutual Fund,Equity,Mid Cap,Opportunities,High,5,24.65,25.77,25.15,0.9,611.61,695.74,28.1,500,500,Atul Kumar,Index
Bank of India Education Children's Fund Plan - Regular Plan - Growth,Bank of India Mutual Fund,Solution Oriented,Children's Fund,Education,Moderately High,2,14.92,8.92,11.29,0.68,61.29,2030.07,19.2,1500,5000,Chirag Setalvad,GARP
DSP Regular Savings Conservative Hybrid Fund - Direct Plan - Growth,DSP Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Moderate,3,10.31,6.8,2.08,0.75,504.39,775.41,4.8,1000,500,Sohini Andani,Passive
Quantum Equity Arbitrage Arbitrage Fund - Regular Plan - IDCW,Quantum Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,1,7.38,4.94,3.99,0.68,93.1,3596.76,30.0,500,5000,Gopal Agrawal,Value
Motilal Oswal ESG Thematic Fund - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity,Thematic,ESG,High,4,14.77,12.16,16.81,2.05,406.28,465.93,24.0,500,1000,Roshi Jain,Passive
Parag Parikh Focused Large Cap Fund - Regular Plan - IDCW,Parag Parikh Mutual Fund,Equity,Large Cap,Focused,Moderate,4,34.98,27.55,24.19,0.75,87.32,3689.99,11.7,2000,1000,Divam Sharma,Growth
Mahindra Manulife ESG Thematic Fund - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Equity,Thematic,ESG,Moderately High,4,21.94,14.24,15.54,1.15,139.9,456.38,29.6,2000,500,Kalpen Parekh,Active
Bank of India Equity Savings Aggressive Hybrid Plan - Regular Plan - IDCW,Bank of India Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,High,2,4.34,11.22,6.79,0.57,467.97,1086.88,25.4,500,10000,Taher Badshah,Growth
Union Value Thematic Fund - Direct Plan - Growth,Union Mutual Fund,Equity,Thematic,Value,High,4,27.84,24.13,,1.05,512.74,3554.62,2.6,100,10000,Manish Gunwani,Income
Motilal Oswal Tax Saver ELSS Scheme - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,4,27.71,19.77,19.52,1.72,350.2,2064.56,26.7,2500,5000,Anish Tawakley,GARP
Mahindra Manulife Growth Mid Cap Plan - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Equity,Mid Cap,Growth,Moderately High,5,27.19,,,0.63,82.1,7826.63,1.0,500,5000,Sankaran Naren,Passive
Parag Parikh Equity Arbitrage Arbitrage Fund - Direct Plan - Growth,Parag Parikh Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,0.33,4.95,7.31,0.46,408.79,9536.84,4.7,1000,500,Roshi Jain,Blend
Nippon India Flexi Cap Multi Cap Scheme - Regular Plan - IDCW,Nippon India Mutual Fund,Equity,Multi Cap,Flexi Cap,High,3,9.83,8.44,7.99,1.23,13.91,508.49,13.0,500,1000,Anish Tawakley,GARP
IDFC Balanced Dynamic Asset Allocation Plan - Direct Plan - Growth,IDFC Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderate,4,15.03,11.31,8.64,1.54,474.04,403.11,19.0,500,10000,Roshi Jain,Growth
L&T Regular Savings Conservative Hybrid Fund - Regular Plan - Growth,L&T Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,4,4.04,7.91,11.58,1.1,362.88,365.24,14.9,2000,5000,Shreyash Devalkar,Active
Franklin Templeton ESG Thematic Plan - Regular Plan - Growth,Franklin Templeton Mutual Fund,Equity,Thematic,ESG,Moderately High,4,19.66,21.92,26.88,1.26,392.82,3718.11,24.1,1000,500,R. Srinivasan,Blend
HDFC Corporate Credit Risk Scheme - Direct Plan - IDCW,HDFC Mutual Fund,Debt,Credit Risk,Corporate,Moderate,2,10.69,9.31,9.23,0.69,375.44,1329.99,7.8,500,5000,Prashant Jain,Index
Nippon India Pension Retirement Plan - Direct Plan - IDCW,Nippon India Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,2,16.59,9.35,9.68,1.09,438.01,683.38,3.4,1000,1000,Prashant Jain,Blend
L&T Money Market Short Duration Scheme - Direct Plan - Growth,L&T Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,3,10.24,5.79,2.99,0.3,329.82,267.33,27.8,1000,1000,Gopal Agrawal,Active
Mahindra Manulife Regular Savings Conservative Hybrid Scheme - Regular Plan - Growth,Mahindra Manulife Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,3,8.21,7.93,3.77,1.48,535.79,2917.43,3.7,2500,10000,Anish Tawakley,Passive
Bank of India Sensex Index Fund Fund - Regular Plan - Growth,Bank of India Mutual Fund,Other,Index Fund,Sensex,Moderately High,2,12.82,10.45,7.9,0.39,623.24,94.92,20.4,500,5000,Rohit Singhania,Index
Mahindra Manulife Ultra Short Liquid Plan - Regular Plan - Growth,Mahindra Manulife Mutual Fund,Debt,Liquid,Ultra Short,Low,3,-0.17,6.57,4.88,0.2,790.51,9962.19,20.7,2500,10000,Harsha Upadhyaya,Passive
Franklin Templeton Discovery Small Cap Scheme - Direct Plan - Growth,Franklin Templeton Mutual Fund,Equity,Small Cap,Discovery,Very High,3,11.06,14.56,13.67,0.9,23.56,384.04,26.4,2000,10000,Pranav Gokhale,Active
L&T Sensex Index Fund Scheme - Direct Plan - IDCW,L&T Mutual Fund,Other,Index Fund,Sensex,Moderately High,4,10.2,12.78,7.85,0.37,661.75,823.61,23.8,500,5000,Gopal Agrawal,Active
Kotak Mahindra Corporate Bond Medium Duration Plan - Regular Plan - IDCW,Kotak Mahindra Mutual Fund,Debt,Medium Duration,Corporate Bond,Moderate,1,7.14,5.18,3.27,0.56,617.63,814.61,24.4,2000,25000,Mahesh Patil,Growth
IDFC Flexi Cap Multi Cap Fund - Regular Plan - Growth,IDFC Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,3,27.34,28.84,31.56,1.17,718.85,440.31,24.3,2000,5000,Sohini Andani,Growth
Franklin Templeton Multi Asset Dynamic Asset Allocation Plan - Direct Plan - Growth,Franklin Templeton Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,3,16.71,9.47,4.97,0.61,433.76,2667.23,17.5,2500,25000,Mahesh Patil,Value
Franklin Templeton Overnight Liquid Plan - Regular Plan - Growth,Franklin Templeton Mutual Fund,Debt,Liquid,Overnight,Low,2,10.44,3.07,-1.48,0.16,19.1,3242.96,20.1,1000,5000,Sankaran Naren,Index
SBI Income Conservative Hybrid Plan - Direct Plan - IDCW,SBI Mutual Fund,Hybrid,Conservative Hybrid,Income,Moderate,3,5.76,5.09,4.69,0.9,65.19,1296.86,20.7,1000,10000,Sailesh Raj Bhan,Growth
Baroda BNP Paribas Low Duration Short Duration Scheme - Regular Plan - IDCW,Baroda BNP Paribas Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,3,6.82,7.06,3.55,0.59,144.53,1696.67,5.1,500,25000,Shreyash Devalkar,GARP
Bank of India Nifty Next 50 Index Fund Plan - Direct Plan - Growth,Bank of India Mutual Fund,Other,Index Fund,Nifty Next 50,Moderately High,4,8.43,15.26,16.53,0.2,644.53,4613.58,24.6,1500,5000,Anish Tawakley,Growth
SBI Domestic Fund of Funds Scheme - Regular Plan - IDCW,SBI Mutual Fund,Other,Fund of Funds,Domestic,High,2,10.81,11.53,14.06,0.46,441.16,298.15,12.8,1000,5000,Varun Goel,Active
Motilal Oswal Multi Asset Dynamic Asset Allocation Plan - Direct Plan - IDCW,Motilal Oswal Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderate,4,9.86,16.27,12.18,0.77,700.81,1269.93,4.3,500,5000,Sankaran Naren,Active
Nippon India Equity Savings Aggressive Hybrid Fund - Direct Plan - Growth,Nippon India Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,3,10.49,8.52,7.08,1.5,193.08,163.2,21.6,1000,10000,Niket Shah,Index
JM Financial Regular Savings Conservative Hybrid Plan - Direct Plan - Growth,JM Financial Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Low to Moderate,1,11.76,5.89,6.83,0.45,346.61,2990.69,5.2,500,5000,Varun Goel,Active
L&T Multi Asset Dynamic Asset Allocation Plan - Direct Plan - Growth,L&T Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,3,8.8,15.11,15.17,1.54,749.44,2888.18,16.3,2500,500,Jinesh Gopani,Active
IDFC Discovery Mid Cap Plan - Regular Plan - IDCW,IDFC Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,3,31.1,31.21,30.93,1.18,678.65,1128.98,25.0,1500,5000,Niket Shah,Income
Motilal Oswal Discovery Mid Cap Fund - Regular Plan - Growth,Motilal Oswal Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,3,18.2,18.33,19.06,0.78,636.81,47.68,3.7,2500,10000,Sailesh Raj Bhan,Growth
Parag Parikh Value Thematic Scheme - Direct Plan - IDCW,Parag Parikh Mutual Fund,Equity,Thematic,Value,High,4,27.51,30.63,,1.23,251.21,849.47,1.5,5000,10000,Gopal Agrawal,Growth
Franklin Templeton Infrastructure Sectoral Scheme - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Equity,Sectoral,Infrastructure,Very High,4,23.51,22.68,21.25,1.39,772.69,135.21,7.7,5000,1000,Sailesh Raj Bhan,Blend
Aditya Birla Sun Life 10Y Gilt Long Duration Plan - Regular Plan - Growth,Aditya Birla Sun Life Mutual Fund,Debt,Long Duration,10Y Gilt,Moderately High,4,3.86,8.56,10.65,0.32,339.79,379.23,23.4,100,5000,Manish Gunwani,Blend
Baroda BNP Paribas Consumption Sectoral Fund - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Equity,Sectoral,Consumption,Very High,4,18.7,23.42,25.84,0.6,683.21,1738.92,10.9,1500,25000,Shreyash Devalkar,Passive
Aditya Birla Sun Life Equity Arbitrage Arbitrage Scheme - Regular Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,2,11.77,5.28,,0.34,398.48,756.25,2.9,2500,500,Vinay Sharma,Value
Canara Robeco Discovery Small Cap Plan - Regular Plan - IDCW,Canara Robeco Mutual Fund,Equity,Small Cap,Discovery,Very High,3,50.37,42.75,41.51,2.07,439.5,4382.01,19.9,100,500,Anish Tawakley,Blend
ICICI Prudential International Fund of Funds Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Other,Fund of Funds,International,High,2,10.26,7.51,3.03,0.44,11.1,226.8,30.0,500,10000,Dhaval Gada,Index
Tata Balanced Advantage Aggressive Hybrid Scheme - Regular Plan - Growth,Tata Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,4,18.96,18.8,16.8,0.61,233.46,8318.84,16.4,500,1000,Vetri Subramaniam,Growth
Aditya Birla Sun Life Flexi Cap Multi Cap Scheme - Direct Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,Multi Cap,Flexi Cap,High,2,2.04,8.4,7.5,1.89,512.82,411.37,24.2,100,25000,Shreyash Devalkar,Growth
HDFC Banking & PSU Medium Duration Fund - Direct Plan - Growth,HDFC Mutual Fund,Debt,Medium Duration,Banking & PSU,Low to Moderate,4,0.18,6.45,10.21,0.85,141.15,21.39,18.9,1500,5000,R. Srinivasan,Passive
SBI Senior Citizen Retirement Scheme - Direct Plan - Growth,SBI Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,2,12.44,11.8,,0.47,156.38,50187.16,1.5,500,1000,R. Srinivasan,Value
HSBC Equity Savings Aggressive Hybrid Scheme - Regular Plan - IDCW,HSBC Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,High,4,12.03,17.85,21.21,0.62,246.53,391.3,8.0,1000,25000,Manish Gunwani,Income
Nippon India Overnight Liquid Fund - Regular Plan - Growth,Nippon India Mutual Fund,Debt,Liquid,Overnight,Low,1,12.42,4.63,0.19,0.16,49.84,144.63,19.0,1000,1000,Manish Gunwani,Passive
ICICI Prudential Diversified Multi Cap Plan - Regular Plan - IDCW,ICICI Prudential Mutual Fund,Equity,Multi Cap,Diversified,High,3,,26.4,26.67,1.3,143.28,440.54,18.0,5000,5000,Amit Ganatra,Income
Invesco Focused Large Cap Scheme - Direct Plan - IDCW,Invesco Mutual Fund,Equity,Large Cap,Focused,Moderately High,4,17.85,10.33,5.55,1.5,632.12,239.43,9.3,500,5000,Swarup Mohanty,Active
Quant Discovery Mid Cap Plan - Direct Plan - Growth,Quant Mutual Fund,Equity,Mid Cap,Discovery,High,3,16.8,13.64,15.07,1.65,750.49,305.34,7.7,500,5000,Chirag Setalvad,GARP
Parag Parikh Regular Savings Conservative Hybrid Fund - Direct Plan - IDCW,Parag Parikh Mutual Fund,Hybrid,Conservative Hybrid,Regular Savings,Moderate,3,-0.37,6.47,8.5,0.78,736.67,2237.35,19.7,500,10000,Vetri Subramaniam,Value
Nippon India Flexi Cap Multi Cap Scheme - Regular Plan - Growth,Nippon India Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,3,,28.85,27.22,1.04,48.57,222.22,12.3,500,500,Rahul Baijal,GARP
Edelweiss Micro Cap Small Cap Plan - Direct Plan - Growth,Edelweiss Mutual Fund,Equity,Small Cap,Micro Cap,Very High,3,40.76,35.91,32.44,1.12,303.7,1080.56,5.0,1000,500,Sankaran Naren,Passive
Mahindra Manulife Balanced Advantage Aggressive Hybrid Fund - Regular Plan - Growth,Mahindra Manulife Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,12.66,17.61,16.28,0.55,505.54,504.02,17.6,2500,5000,Atul Kumar,Growth
Edelweiss Pension Retirement Fund - Direct Plan - IDCW,Edelweiss Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,2,6.33,11.54,10.33,1.33,518.22,8005.74,19.7,500,1000,Rahul Baijal,Income
Aditya Birla Sun Life Equity Arbitrage Arbitrage Plan - Regular Plan - Growth,Aditya Birla Sun Life Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,14.3,7.58,3.53,0.64,594.48,2646.75,5.4,1500,1000,Anish Tawakley,Index
ICICI Prudential Balanced Dynamic Asset Allocation Scheme - Regular Plan - Growth,ICICI Prudential Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderately High,4,8.02,14.64,14.28,0.64,275.28,9147.91,1.0,1500,1000,Ajay Tyagi,Active
SBI Value Thematic Scheme - Direct Plan - IDCW,SBI Mutual Fund,Equity,Thematic,Value,High,4,21.76,19.85,21.48,1.91,178.65,1101.82,29.5,500,5000,Taher Badshah,Blend
Tata Flexi Cap Multi Cap Plan - Direct Plan - IDCW,Tata Mutual Fund,Equity,Multi Cap,Flexi Cap,Moderately High,4,16.88,14.67,13.17,1.89,59.98,6939.5,16.7,1500,25000,Ashish Kela,Value
