Scheme Name,AMC Name,Fund Type,Category,Sub Category,Risk Level,Fund Rating,Return 1Y (%),Return 3Y (%),Return 5Y (%),Expense Ratio (%),NAV (₹),AUM (Cr),Fund Age (Years),Min SIP (₹),Min Lumpsum (₹),Fund Manager,Investment Strategy,Norm_Return_1Y,Norm_Return_3Y,Norm_Return_5Y,Norm_Expense_Ratio,Norm_Fund_Age,Norm_AUM,Score,Rank
Nippon India Micro Cap Small Cap Scheme - Regular Plan - IDCW,Nippon India Mutual Fund,Equity,Small Cap,Micro Cap,High,4,23.25,17.22,22.18,1.13,363.3,2057.61,21.8,1000,10000,Ashish Kela,Passive,0.5095840867992767,0.3530805687203791,0.47705870567020625,0.43096234309623427,0.7220338983050848,0.00821667404743578,53.44,644
Mirae Asset Nifty Next 50 Index Fund Plan - Direct Plan - Growth,Mirae Asset Mutual Fund,Other,Index Fund,Nifty Next 50,Moderate,5,9.63,12.35,9.25,0.42,226.31,290.34,13.3,100,1000,Gopal Agrawal,Active,0.26329113924050634,0.23767772511848342,0.21799238629533157,0.13389121338912133,0.43389830508474575,0.00114749592724347,53.4,645
ICICI Prudential Income Conservative Hybrid Scheme - Regular Plan - Growth,ICICI Prudential Mutual Fund,Hybrid,Conservative Hybrid,Income,Low to Moderate,3,15.04,8.99,5.95,0.5,463.86,23977.68,23.9,500,500,S. Nagnath,Index,0.361121157323689,0.1580568720379147,0.15187337206972548,0.16736401673640167,0.7932203389830509,0.09589817106661441,53.4,646
Bandhan Focused Large Cap Plan - Regular Plan - Growth,Bandhan Mutual Fund,Equity,Large Cap,Focused,Moderately High,4,26.64,22.12,21.67,1.35,315.26,304.87,5.2,500,5000,Niket Shah,Income,0.5708860759493671,0.4691943127962085,0.46684031256261266,0.5230125523012552,0.15932203389830507,0.0012056167339602674,53.33,647
DSP Bluechip Large Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,4,11.65,15.86,11.83,0.57,639.63,2361.97,14.5,500,5000,Rahul Baijal,GARP,0.29981916817359855,0.3208530805687203,0.2696854337808054,0.19665271966527192,0.4745762711864407,0.009434130945737527,53.32,648
L&T Equity Savings Aggressive Hybrid Plan - Regular Plan - Growth,L&T Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,5,24.44,17.18,17.29,1.68,774.51,753.82,25.5,2500,5000,Prashant Jain,Value,0.5311030741410488,0.3521327014218009,0.37908234822680814,0.6610878661087866,0.8474576271186441,0.003001441660010241,53.28,649
Motilal Oswal Tax Saver ELSS Scheme - Direct Plan - IDCW,Motilal Oswal Mutual Fund,Equity,ELSS,Tax Saver,High,4,20.79,19.715,9.58,0.63,172.65,6241.62,1.3,500,10000,Dhaval Gada,Active,0.4650994575045208,0.4122037914691943,0.22460428771789215,0.22175732217573219,0.02711864406779661,0.024952946346895294,53.24,650
DSP Opportunities Mid Cap Plan - Direct Plan - IDCW,DSP Mutual Fund,Equity,Mid Cap,Opportunities,Moderately High,4,16.86,18.9,17.08,1.39,138.1,3193.13,25.5,500,10000,Neelesh Surana,Value,0.3940325497287523,0.39289099526066346,0.3748747745942696,0.5397489539748953,0.8474576271186441,0.012758817092381244,53.24,651
Edelweiss Multi Asset Dynamic Asset Allocation Plan - Regular Plan - Growth,Edelweiss Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,4,13.19,14.31,16.04,0.79,250.6,299.09,23.8,500,5000,Manish Gunwani,Income,0.3276672694394213,0.28412322274881513,0.35403726708074523,0.28870292887029286,0.7898305084745764,0.001182496413050213,53.2,652
Invesco Balanced Dynamic Asset Allocation Scheme - Direct Plan - Growth,Invesco Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderate,5,23.05,17.94,18.5,1.08,669.34,537.42,3.1,1500,5000,Rohit Singhania,Blend,0.5059674502712478,0.3701421800947867,0.4033259867761971,0.4100418410041841,0.088135593220339,0.0021358296453154765,53.15,653
Mahindra Manulife Discovery Small Cap Plan - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Equity,Small Cap,Discovery,Very High,5,21.05,28.83,27.08,2.08,248.8,5033.07,23.0,1000,10000,Sohini Andani,Index,0.46980108499095846,0.6281990521327013,0.5752354237627728,0.8284518828451882,0.7627118644067797,0.02011867924726795,53.12,654
Motilal Oswal Senior Citizen Retirement Scheme - Direct Plan - Growth,Motilal Oswal Mutual Fund,Solution Oriented,Retirement,Senior Citizen,Moderately High,4,22.0,15.34,16.69,1.09,327.34,1485.48,20.5,500,5000,Anish Tawakley,Blend,0.48698010849909584,0.30853080568720376,0.36706070927669804,0.41422594142259417,0.6779661016949153,0.005928122282337279,53.12,655
Tata Growth Mid Cap Scheme - Direct Plan - IDCW,Tata Mutual Fund,Equity,Mid Cap,Growth,Moderately High,4,19.9,14.89,18.34,0.81,265.91,1673.0,15.3,500,5000,Ashish Kela,Growth,0.44900542495479207,0.29786729857819905,0.400120216389501,0.29707112970711297,0.5016949152542374,0.006678212693592187,53.1,656
Mahindra Manulife Money Market Short Duration Scheme - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Debt,Short Duration,Money Market,Low,3,8.8,7.45,4.58,0.25,562.08,1568.44,21.8,5000,1000,Atul Kumar,Index,0.2482820976491863,0.12156398104265403,0.12442396313364053,0.06276150627615062,0.7220338983050848,0.00625996688834041,53.09,657
JM Financial Money Market Short Duration Fund - Direct Plan - IDCW,JM Financial Mutual Fund,Debt,Short Duration,Money Market,Low,4,13.11,7.72,12.67,0.21,97.38,6447.74,8.9,100,5000,Rohit Singhania,Growth,0.32622061482820974,0.12796208530805686,0.28651572831095967,0.046025104602510455,0.2847457627118644,0.025777437790836535,53.04,658
JM Financial Focused Large Cap Scheme - Regular Plan - Growth,JM Financial Mutual Fund,Equity,Large Cap,Focused,Moderate,5,15.23,17.96,17.37,1.59,549.89,5467.74,26.5,1000,500,Chirag Setalvad,Passive,0.36455696202531646,0.3706161137440758,0.38068523342015625,0.6234309623430963,0.8813559322033899,0.02185738338048132,53.02,659
Edelweiss Equity Arbitrage Arbitrage Scheme - Direct Plan - Growth,Edelweiss Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,10.24,7.47,2.94,0.65,612.53,626.37,26.5,1000,1000,Rajeev Thakkar,Active,0.27432188065099455,0.12203791469194311,0.09156481667000599,0.2301255230125523,0.8813559322033899,0.0024916345838880243,53.0,660
Motilal Oswal Discovery Mid Cap Plan - Direct Plan - Growth,Motilal Oswal Mutual Fund,Equity,Mid Cap,Discovery,Moderately High,4,19.6,19.18,22.27,0.98,423.21,181.83,8.7,500,1000,Swarup Mohanty,Active,0.4435804701627487,0.39952606635071086,0.4788619515127228,0.36820083682008364,0.2779661016949152,0.0007134499026846494,52.99,661
ICICI Prudential Bluechip Large Cap Scheme - Regular Plan - Growth,ICICI Prudential Mutual Fund,Equity,Large Cap,Bluechip,Moderately High,4,15.58,17.75,17.71,0.49,348.81,2580.22,1.7,500,10000,Prashant Jain,Value,0.3708860759493671,0.36563981042654026,0.38749749549188534,0.1631799163179916,0.04067796610169491,0.010307143063145717,52.98,662
Parag Parikh Equity Arbitrage Arbitrage Scheme - Direct Plan - Growth,Parag Parikh Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,4,8.49,7.89,7.87,0.35,509.96,312.01,17.9,1500,10000,Rahul Baijal,Index,0.2426763110307414,0.13199052132701422,0.19034261671007813,0.10460251046025104,0.5898305084745763,0.0012341771303785696,52.98,663
Mirae Asset Low Duration Short Duration Scheme - Direct Plan - Growth,Mirae Asset Mutual Fund,Debt,Short Duration,Low Duration,Low to Moderate,3,5.86,7.88,9.69,0.24,321.83,2336.49,28.9,1500,5000,Ajay Tyagi,Index,0.19511754068716095,0.13175355450236967,0.22680825485874567,0.058577405857740586,0.9627118644067797,0.009332209531068291,52.93,664
Tata 10Y Gilt Long Duration Fund - Regular Plan - Growth,Tata Mutual Fund,Debt,Long Duration,10Y Gilt,Moderately High,4,12.79,8.01,12.34,0.32,129.8,605.26,26.6,5000,500,Swarup Mohanty,GARP,0.32043399638336345,0.13483412322274882,0.2799038268883991,0.09205020920502091,0.8847457627118644,0.0024071934118445565,52.91,665
Quantum Opportunities Mid Cap Fund - Regular Plan - IDCW,Quantum Mutual Fund,Equity,Mid Cap,Opportunities,High,3,21.12,23.86,26.06,1.43,271.59,3287.38,19.3,500,5000,Anish Tawakley,Growth,0.4710669077757686,0.5104265402843601,0.5547986375475855,0.5564853556485355,0.6372881355932204,0.013135822325213875,52.91,666
Quantum Multi Asset Dynamic Asset Allocation Scheme - Regular Plan - IDCW,Quantum Mutual Fund,Hybrid,Dynamic Asset Allocation,Multi Asset,Moderately High,3,11.01,16.25,13.96,0.8,222.56,7552.04,25.7,1000,5000,Vinay Sharma,Passive,0.28824593128390597,0.33009478672985776,0.3123622520536966,0.2928870292887029,0.8542372881355932,0.03019469910242354,52.88,667
UTI Emerging Small Cap Scheme - Regular Plan - IDCW,UTI Mutual Fund,Equity,Small Cap,Emerging,Very High,5,22.98,16.39,18.9,0.61,574.03,4445.29,9.7,1500,1000,Ankit Agarwal,Passive,0.5047016274864377,0.3334123222748815,0.4113404127429372,0.21338912133891214,0.311864406779661,0.017767526613269392,52.84,668
Axis Money Market Short Duration Fund - Direct Plan - Growth,Axis Mutual Fund,Debt,Short Duration,Money Market,Low to Moderate,2,15.69,7.92,9.79,0.35,640.46,1517.81,27.4,500,25000,Amit Ganatra,Blend,0.372875226039783,0.13270142180094788,0.22881186135043075,0.10460251046025104,0.911864406779661,0.006057444077323794,52.83,669
HDFC Discovery Mid Cap Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Mid Cap,Discovery,High,3,19.13,22.92,20.02,1.36,78.43,861.92,21.8,500,1000,Niket Shah,Active,0.43508137432188065,0.48815165876777256,0.43378080544980957,0.5271966527196653,0.7220338983050848,0.0034338476618055455,52.82,670
Mahindra Manulife Equity Savings Aggressive Hybrid Plan - Regular Plan - IDCW,Mahindra Manulife Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,3,18.65,20.18,18.45,1.33,647.81,2064.99,23.0,1000,500,Varun Goel,Value,0.4264014466546112,0.4232227488151658,0.40232418353035454,0.5146443514644351,0.7627118644067797,0.008246194457179066,52.79,671
Bank of India Growth Mid Cap Fund - Direct Plan - Growth,Bank of India Mutual Fund,Equity,Mid Cap,Growth,Moderately High,3,23.23,18.38,13.43,0.93,323.35,3769.72,10.7,500,500,Ashish Kela,Passive,0.5092224231464738,0.38056872037914685,0.3017431376477659,0.3472803347280335,0.34576271186440677,0.01506520910510238,52.79,672
HDFC Sensex Index Fund Scheme - Direct Plan - Growth,HDFC Mutual Fund,Other,Index Fund,Sensex,Moderate,3,9.36,16.0,16.97,0.37,182.49,531.01,12.1,5000,500,Sohini Andani,Income,0.25840867992766725,0.32417061611374404,0.3726708074534161,0.11297071129707112,0.3932203389830508,0.0021101892894273373,52.78,673
HDFC Nifty 50 Index Fund Plan - Regular Plan - IDCW,HDFC Mutual Fund,Other,Index Fund,Nifty 50,Moderately High,5,16.19,13.965,13.905000000000001,0.37,356.6,1074.65,1.5,500,5000,Atul Kumar,Active,0.3819168173598554,0.2759478672985782,0.3112602684832698,0.11297071129707112,0.03389830508474577,0.004284779472739082,52.73,674
Parag Parikh Nifty Next 50 Index Fund Plan - Direct Plan - Growth,Parag Parikh Mutual Fund,Other,Index Fund,Nifty Next 50,Moderately High,5,9.82,13.965,16.94,0.19,770.87,1534.77,2.7,2000,10000,Rohit Singhania,Index,0.2667269439421338,0.2759478672985782,0.3720697255059106,0.03765690376569038,0.07457627118644068,0.0061252850189560636,52.72,675
Union Tax Saver ELSS Plan - Direct Plan - Growth,Union Mutual Fund,Equity,ELSS,Tax Saver,Moderately High,4,13.16,10.87,7.84,0.65,140.14,278.88,27.8,1000,10000,Divam Sharma,Passive,0.327124773960217,0.20260663507109003,0.1897415347625726,0.2301255230125523,0.9254237288135594,0.0011016552909754388,52.66,676
IDFC Flexi Cap Multi Cap Fund - Regular Plan - IDCW,IDFC Mutual Fund,Equity,Multi Cap,Flexi Cap,High,3,12.44,18.7,16.19,0.91,648.59,2179.19,26.3,100,5000,Divam Sharma,Growth,0.31410488245931284,0.38815165876777247,0.35704267681827284,0.3389121338912134,0.8745762711864408,0.008703000797651073,52.63,677
Canara Robeco Equity Savings Aggressive Hybrid Scheme - Regular Plan - IDCW,Canara Robeco Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,High,4,12.03,18.39,18.53,1.11,300.47,115.05,28.0,1000,25000,Vetri Subramaniam,Growth,0.30669077757685353,0.38080568720379143,0.4039270687237026,0.4225941422594143,0.9322033898305085,0.0004463261950075867,52.63,678
Bank of India Ultra Short Liquid Scheme - Regular Plan - Growth,Bank of India Mutual Fund,Debt,Liquid,Ultra Short,Low,3,9.54,5.24,7.82,0.37,363.71,1638.51,29.7,500,500,Amit Ganatra,Active,0.2616636528028933,0.06919431279620852,0.1893408134642356,0.11297071129707112,0.9898305084745762,0.006540250778680808,52.61,679
Edelweiss International Fund of Funds Scheme - Regular Plan - IDCW,Edelweiss Mutual Fund,Other,Fund of Funds,International,Moderate,4,14.39,13.48,12.64,0.81,436.4,470.05,21.0,500,5000,R. Srinivasan,Passive,0.34936708860759497,0.2644549763033175,0.28591464636345415,0.29707112970711297,0.6949152542372882,0.00186634590488116,52.59,680
Sundaram Discovery Mid Cap Fund - Regular Plan - IDCW,Sundaram Mutual Fund,Equity,Mid Cap,Discovery,High,4,25.55,27.74,23.6,1.75,275.87,2039.52,6.9,2500,10000,Ashish Kela,Growth,0.5511754068716094,0.6023696682464454,0.5055099178521338,0.6903765690376569,0.21694915254237288,0.008144313043065038,52.56,681
Parag Parikh Balanced Dynamic Asset Allocation Scheme - Regular Plan - Growth,Parag Parikh Mutual Fund,Hybrid,Dynamic Asset Allocation,Balanced,Moderately High,4,25.12,17.6,21.25,1.24,563.09,3997.14,13.9,2000,500,Dhaval Gada,Blend,0.5433996383363472,0.36208530805687206,0.45842516529753546,0.4769874476987448,0.4542372881355932,0.015974901731636033,52.53,682
HDFC Ultra Short Liquid Plan - Direct Plan - IDCW,HDFC Mutual Fund,Debt,Liquid,Ultra Short,Low,4,1.63,6.96,2.43,0.41,208.05,2431.69,28.4,500,10000,Shreyash Devalkar,Income,0.118625678119349,0.10995260663507109,0.08134642356241234,0.12970711297071127,0.9457627118644067,0.009713014816645656,52.52,683
Baroda BNP Paribas Overnight Liquid Scheme - Direct Plan - IDCW,Baroda BNP Paribas Mutual Fund,Debt,Liquid,Overnight,Low,2,14.37,6.92,3.53,0.17,455.91,2339.97,19.3,2000,5000,Neelesh Surana,Active,0.34900542495479203,0.1090047393364929,0.10338609497094768,0.0292887029288703,0.6372881355932204,0.009346129724280573,52.51,684
Quantum Equity Arbitrage Arbitrage Fund - Regular Plan - Growth,Quantum Mutual Fund,Hybrid,Arbitrage,Equity Arbitrage,Low,3,10.87,7.77,12.17,0.64,483.37,1048.87,29.3,500,10000,Dhaval Gada,Passive,0.2857142857142857,0.12914691943127962,0.27649769585253453,0.22594142259414224,0.976271186440678,0.004181658041413614,52.49,685
Mahindra Manulife Infrastructure Sectoral Plan - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Equity,Sectoral,Infrastructure,Very High,4,24.61,28.56,23.96,1.31,748.69,501.97,0.8,5000,5000,Amit Ganatra,Blend,0.5341772151898734,0.6218009478672984,0.5127229012221999,0.5062761506276151,0.010169491525423732,0.001994027677104158,52.49,686
Axis Growth Mid Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Equity,Mid Cap,Growth,High,4,21.43,21.9,20.78,1.71,365.32,4030.75,26.1,500,5000,Sankaran Naren,GARP,0.4766726943942134,0.4639810426540284,0.44900821478661584,0.6736401673640167,0.8677966101694916,0.016109343597689136,52.49,687
Franklin Templeton Ultra Short Liquid Fund - Regular Plan - IDCW,Franklin Templeton Mutual Fund,Debt,Liquid,Ultra Short,Low,3,4.0,6.13,3.85,0.28,647.25,6511.91,29.7,1000,5000,Dhaval Gada,Active,0.16148282097649186,0.09028436018957348,0.10979763574433979,0.07531380753138076,0.9898305084745762,0.02603412135360439,52.46,688
HSBC Equity Savings Aggressive Hybrid Plan - Direct Plan - Growth,HSBC Mutual Fund,Hybrid,Aggressive Hybrid,Equity Savings,Moderately High,3,12.49,15.49,17.03,0.72,19.39,2788.07,23.0,1000,1000,Mahesh Patil,Active,0.3150090415913201,0.312085308056872,0.3738729713484271,0.25941422594142255,0.7627118644067797,0.011138554603137894,52.45,689
ICICI Prudential Value Thematic Plan - Direct Plan - Growth,ICICI Prudential Mutual Fund,Equity,Thematic,Value,High,4,13.95,12.39,15.38,0.64,95.55,778.44,27.7,500,10000,Pranav Gokhale,Index,0.3414104882459313,0.23862559241706163,0.3408134642356241,0.22594142259414224,0.9220338983050848,0.003099923026931614,52.43,690
Mahindra Manulife Balanced Advantage Aggressive Hybrid Fund - Regular Plan - Growth,Mahindra Manulife Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,High,3,12.66,17.61,16.28,0.55,505.54,504.02,17.6,2500,5000,Atul Kumar,Growth,0.3180831826401447,0.3623222748815165,0.35884592266078935,0.1882845188284519,0.5796610169491526,0.002002227790921738,52.42,691
Invesco Micro Cap Small Cap Scheme - Direct Plan - Growth,Invesco Mutual Fund,Equity,Small Cap,Micro Cap,Very High,5,20.95,27.4,28.48,1.33,737.23,6929.0,1.7,1500,10000,Chirag Setalvad,Passive,0.46799276672694395,0.5943127962085307,0.6032859146463634,0.5146443514644351,0.04067796610169491,0.02770250451076261,52.25,692
Quant Gold Fund of Funds Fund - Regular Plan - IDCW,Quant Mutual Fund,Other,Fund of Funds,Gold,Moderate,3,12.47,16.6,12.28,0.68,219.3,99.8,15.4,2000,5000,R. Srinivasan,Blend,0.3146473779385172,0.33838862559241706,0.27870166299338806,0.24267782426778245,0.5050847457627119,0.0003853253483158346,52.25,693
Franklin Templeton Balanced Advantage Aggressive Hybrid Plan - Direct Plan - IDCW,Franklin Templeton Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,4,15.77,20.88,21.56,1.68,34.89,216.68,27.8,500,25000,Rajeev Thakkar,Growth,0.3743218806509946,0.4398104265402843,0.4646363454217591,0.6610878661087866,0.9254237288135594,0.0008528518375835058,52.25,694
Franklin Templeton Contra Thematic Scheme - Direct Plan - Growth,Franklin Templeton Mutual Fund,Equity,Thematic,Contra,Moderately High,5,8.75,12.23,13.94,0.79,543.91,3771.84,25.9,500,5000,Sankaran Naren,Income,0.24737793851717904,0.2348341232227488,0.3119615307553596,0.28870292887029286,0.8610169491525423,0.015073689222806415,52.25,695
Sundaram Overnight Liquid Fund - Regular Plan - IDCW,Sundaram Mutual Fund,Debt,Liquid,Overnight,Low,3,12.86,5.86,9.98,0.48,201.81,601.94,26.9,1000,500,Rahul Baijal,Active,0.3216998191681736,0.08388625592417062,0.23261871368463233,0.1589958158995816,0.8949152542372881,0.002393913227515598,52.21,696
Bandhan Tax Saver ELSS Plan - Direct Plan - IDCW,Bandhan Mutual Fund,Equity,ELSS,Tax Saver,High,4,23.96,26.27,24.09,1.76,47.71,1359.85,12.2,2500,500,Pranav Gokhale,Blend,0.5224231464737794,0.5675355450236966,0.5153275896613905,0.6945606694560669,0.3966101694915254,0.0054255953072628645,52.21,697
Bandhan Dynamic Multi Cap Scheme - Regular Plan - IDCW,Bandhan Mutual Fund,Equity,Multi Cap,Dynamic,Moderate,4,9.04,15.98,20.87,0.46,526.69,2806.38,7.8,1000,5000,Nimesh Chandan,Index,0.25262206148282096,0.32369668246445493,0.45081146062913235,0.1506276150627615,0.24745762711864405,0.011211795619723203,52.2,698
PGIM India Focused Large Cap Scheme - Direct Plan - Growth,PGIM India Mutual Fund,Equity,Large Cap,Focused,Moderately High,4,7.85,8.93,12.2,0.34,542.86,407.9,28.0,100,10000,Dhaval Gada,Blend,0.2311030741410488,0.1566350710900474,0.27709877780004,0.10041841004184102,0.9322033898305085,0.0016177424542652653,52.13,699
IDFC Diversified Multi Cap Plan - Direct Plan - IDCW,IDFC Mutual Fund,Equity,Multi Cap,Diversified,High,4,24.23,24.64,21.9,1.39,39.94,636.08,4.9,500,5000,Shreyash Devalkar,Income,0.5273056057866184,0.528909952606635,0.47144860749348816,0.5397489539748953,0.14915254237288136,0.002530475122994707,52.13,700
Tata Gift Children's Fund Scheme - Direct Plan - IDCW,Tata Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderate,4,10.06,16.72,16.89,0.65,333.34,1231.04,10.4,500,1000,Rohit Singhania,Passive,0.27106690777576853,0.3412322274881516,0.3710679222600681,0.2301255230125523,0.33559322033898303,0.0049103481556324,52.11,701
Aditya Birla Sun Life Pharma Sectoral Fund - Regular Plan - IDCW,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral,Pharma,High,3,22.9,23.48,28.2,1.72,284.81,364.35,25.6,1000,5000,Amit Ganatra,Blend,0.503254972875226,0.5014218009478673,0.5976758164696453,0.6778242677824268,0.8508474576271188,0.0014435400363357045,52.11,702
DSP Dynamic Multi Cap Fund - Direct Plan - IDCW,DSP Mutual Fund,Equity,Multi Cap,Dynamic,High,4,25.12,22.54,26.02,1.6,364.15,11323.37,15.6,100,1000,Neelesh Surana,Blend,0.5433996383363472,0.4791469194312795,0.5539971949509115,0.6276150627615062,0.511864406779661,0.045280228489571445,52.1,703
Quantum Discovery Mid Cap Scheme - Direct Plan - IDCW,Quantum Mutual Fund,Equity,Mid Cap,Discovery,High,4,26.03,24.64,24.1,1.74,217.85,645.14,13.7,1500,25000,Gopal Agrawal,GARP,0.5598553345388788,0.528909952606635,0.515527950310559,0.6861924686192469,0.447457627118644,0.002566715626012889,52.1,704
UTI Gift Children's Fund Scheme - Direct Plan - Growth,UTI Mutual Fund,Solution Oriented,Children's Fund,Gift,Moderate,3,13.44,16.09,13.81,1.0,579.71,1289.02,25.1,1500,500,Niket Shah,Passive,0.3321880650994575,0.326303317535545,0.30935684231616906,0.37656903765690375,0.8338983050847458,0.0051422713747266815,52.05,705
SBI Index Large Cap Fund - Regular Plan - IDCW,SBI Mutual Fund,Equity,Large Cap,Index,Moderate,5,23.27,19.08,19.45,1.56,34.47,8143.59,11.3,500,5000,Ashish Kela,Value,0.5099457504520796,0.39715639810426534,0.4223602484472049,0.6108786610878661,0.36610169491525424,0.032560931945735415,52.04,706
Mirae Asset Gilt Long Duration Scheme - Regular Plan - Growth,Mirae Asset Mutual Fund,Debt,Long Duration,Gilt,Moderate,3,17.17,9.34,5.5,0.42,111.22,231.21,22.1,500,5000,Gopal Agrawal,Value,0.39963833634719714,0.16635071090047393,0.14285714285714285,0.13389121338912133,0.7322033898305086,0.000910972644300303,52.03,707
Nippon India Banking Sectoral Plan - Direct Plan - IDCW,Nippon India Mutual Fund,Equity,Sectoral,Banking,Very High,4,27.84,21.3,21.7,0.85,280.85,116.9,2.3,2500,5000,Divam Sharma,Index,0.5925858951175407,0.4497630331753554,0.4674413945101181,0.3138075313807531,0.06101694915254237,0.00045372629772101245,52.01,708
ICICI Prudential Diversified Multi Cap Fund - Regular Plan - Growth,ICICI Prudential Mutual Fund,Equity,Multi Cap,Diversified,High,5,24.37,23.29,26.25,1.58,491.21,206.98,8.2,2000,500,Niket Shah,Blend,0.5298372513562387,0.4969194312796208,0.5586054898817872,0.6192468619246861,0.2610169491525423,0.0008140512990320306,52.01,709
ICICI Prudential Nifty 100 Index Fund Scheme - Direct Plan - Growth,ICICI Prudential Mutual Fund,Other,Index Fund,Nifty 100,Moderate,4,9.24,13.85,14.07,0.36,257.62,691.95,10.1,500,25000,Vinay Sharma,Income,0.2562386980108499,0.27322274881516584,0.31456621919455013,0.10878661087866107,0.3254237288135593,0.0027539582249401623,52.0,710
ICICI Prudential Focused Large Cap Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Equity,Large Cap,Focused,Moderately High,3,26.52,21.46,25.78,1.61,260.95,229.94,17.8,1000,5000,Taher Badshah,Passive,0.5687160940325497,0.4535545023696682,0.5491885393708675,0.6317991631799164,0.5864406779661018,0.0009058925737889242,51.99,711
Parag Parikh Ultra Short Liquid Scheme - Direct Plan - IDCW,Parag Parikh Mutual Fund,Debt,Liquid,Ultra Short,Low,4,2.62,6.77,2.99,0.18,710.44,57.42,19.6,2500,25000,Niket Shah,Active,0.13652802893309224,0.10545023696682465,0.09256661991584852,0.033472803347280325,0.6474576271186442,0.00021580299534557543,51.98,712
Motilal Oswal Money Market Short Duration Fund - Regular Plan - Growth,Motilal Oswal Mutual Fund,Debt,Short Duration,Money Market,Low,4,11.98,6.01,1.85,0.61,546.65,2107.63,24.8,1000,25000,Niket Shah,Active,0.3057866184448463,0.08744075829383885,0.06972550591063914,0.21338912133891214,0.8237288135593221,0.008416756824584726,51.95,713
Mirae Asset Tax Saver ELSS Scheme - Direct Plan - IDCW,Mirae Asset Mutual Fund,Equity,ELSS,Tax Saver,High,5,22.03,26.52,28.86,1.64,340.01,729.53,3.2,100,500,Atul Kumar,Value,0.4875226039783002,0.5734597156398104,0.6108996193147664,0.6443514644351463,0.09152542372881357,0.0029042803114107223,51.89,714
UTI Pension Retirement Fund - Regular Plan - IDCW,UTI Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,3,20.48,15.44,17.29,1.33,483.63,702.75,29.2,500,500,S. Nagnath,Income,0.45949367088607596,0.3109004739336492,0.37908234822680814,0.5146443514644351,0.9728813559322034,0.002797158824564485,51.88,715
Parag Parikh Growth Mid Cap Fund - Direct Plan - IDCW,Parag Parikh Mutual Fund,Equity,Mid Cap,Growth,High,3,23.73,19.31,21.64,1.43,607.95,2857.82,26.7,500,1000,Amit Ganatra,Passive,0.5182640144665461,0.40260663507108996,0.46623923061510714,0.5564853556485355,0.888135593220339,0.011417558475711645,51.87,716
Motilal Oswal Ultra Short Liquid Scheme - Regular Plan - IDCW,Motilal Oswal Mutual Fund,Debt,Liquid,Ultra Short,Low,4,12.7,6.5,1.61,0.45,223.02,1650.41,17.4,1000,500,Nimesh Chandan,Active,0.31880650994575044,0.0990521327014218,0.06491685033059506,0.14644351464435146,0.5728813559322034,0.006587851439377979,51.8,717
Aditya Birla Sun Life Consumption Sectoral Plan - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Equity,Sectoral,Consumption,High,5,16.14,22.81,26.96,1.31,319.79,1431.88,9.4,1500,5000,Swarup Mohanty,Passive,0.38101265822784813,0.4855450236966824,0.5728310959727508,0.5062761506276151,0.3016949152542373,0.005713719306423974,51.8,718
Motilal Oswal Education Children's Fund Plan - Direct Plan - Growth,Motilal Oswal Mutual Fund,Solution Oriented,Children's Fund,Education,Moderate,5,10.78,15.84,13.8,1.19,74.74,2693.22,22.0,1000,5000,R. Srinivasan,Passive,0.2840867992766727,0.32037914691943126,0.30915648166700055,0.45606694560669453,0.728813559322034,0.010759149336992797,51.8,719
Tata Balanced Advantage Aggressive Hybrid Plan - Direct Plan - Growth,Tata Mutual Fund,Hybrid,Aggressive Hybrid,Balanced Advantage,Moderately High,3,20.76,20.75,21.2,1.57,433.8,4326.15,23.8,2000,10000,Sailesh Raj Bhan,Value,0.4645569620253165,0.43672985781990514,0.4574233620516929,0.6150627615062761,0.7898305084745764,0.01729095999852478,51.72,720
JM Financial Pension Retirement Fund - Direct Plan - Growth,JM Financial Mutual Fund,Solution Oriented,Retirement,Pension,Moderate,4,5.02,12.18,14.59,0.52,538.44,545.67,23.5,1000,5000,Sohini Andani,Blend,0.17992766726943943,0.23364928909952606,0.3249849729513123,0.17573221757322174,0.7796610169491526,0.0021688301033618343,51.71,721
